zone_id,h3_cell,resolution,version,data_source,provenance
IAL_DR08-37,87464e770ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR08-37 polygon
IAL_DR08-37,87464e776ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR08-37 polygon
IAL_DR08-37,87464e729ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR08-37 polygon
IAL_DR09-38,875d144c0ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR09-38 polygon
IAL_DR09-38,875d144c2ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR09-38 polygon
IAL_DR09-38,875d144c3ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR09-38 polygon
IAL_DR09-38,875d144c6ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR09-38 polygon
IAL_DR09-38,875d144d8ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR09-38 polygon
IAL_DR09-38,875d16b2dffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR09-38 polygon
IAL_DR09-38,875d144daffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR09-38 polygon
IAL_DR09-38,875d144deffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR09-38 polygon
IAL_DR09-38,875d16b21ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR09-38 polygon
IAL_DR09-38,875d16b25ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR09-38 polygon
IAL_DR09-38,875d144d1ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR09-38 polygon
IAL_DR09-38,875d144d0ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR09-38 polygon
IAL_DR09-38,875d144d4ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR09-38 polygon
IAL_DR09-38,875d144d5ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR09-38 polygon
IAL_DR09-38,875d144d6ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR09-38 polygon
IAL_DR09-38,875d144f3ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR09-38 polygon
IAL_DR09-38,875d144c5ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR09-38 polygon
IAL_DR09-38,875d144c4ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR09-38 polygon
IAL_DR09-38,875d144f1ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR09-38 polygon
IAL_DR09-38,875d144eeffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR09-38 polygon
IAL_DR09-38,875d144e8ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR09-38 polygon
IAL_DR11-43,87464e76effffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR11-43 polygon
IAL_DR11-45,875d103a5ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR11-45 polygon
IAL_DR11-45,875d100ccffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR11-45 polygon
IAL_DR11-45,875d10316ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR11-45 polygon
IAL_DR11-45,875d10394ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR11-45 polygon
