zone_id,h3_cell,resolution,moku_id,version,data_source,provenance
RAIL_3,8a464b96a95ffff,10,,2026.01,HART rail line sample 2026,Line sample res10 from HART City Center Section center alignment
RAIL_3,8a464b96a957fff,10,,2026.01,HART rail line sample 2026,Line sample res10 from HART City Center Section center alignment
RAIL_3,8a464b96a977fff,10,,2026.01,HART rail line sample 2026,Line sample res10 from HART City Center Section center alignment
RAIL_3,8a464b96a92ffff,10,,2026.01,HART rail line sample 2026,Line sample res10 from HART City Center Section center alignment
RAIL_3,8a464b96e2d7fff,10,oahu-kona,2026.01,HART rail line sample 2026,Line sample res10 from HART City Center Section center alignment
RAIL_3,8a464b96e2f7fff,10,oahu-kona,2026.01,HART rail line sample 2026,Line sample res10 from HART City Center Section center alignment
RAIL_3,8a464b96e21ffff,10,oahu-kona,2026.01,HART rail line sample 2026,Line sample res10 from HART City Center Section center alignment
RAIL_3,8a464b96e217fff,10,oahu-kona,2026.01,HART rail line sample 2026,Line sample res10 from HART City Center Section center alignment
RAIL_3,8a464b96e38ffff,10,oahu-kona,2026.01,HART rail line sample 2026,Line sample res10 from HART City Center Section center alignment
RAIL_3,8a464b96e3affff,10,oahu-kona,2026.01,HART rail line sample 2026,Line sample res10 from HART City Center Section center alignment
RAIL_3,8a464b96e0e7fff,10,oahu-kona,2026.01,HART rail line sample 2026,Line sample res10 from HART City Center Section center alignment
RAIL_3,8a464b96e18ffff,10,oahu-kona,2026.01,HART rail line sample 2026,Line sample res10 from HART City Center Section center alignment
RAIL_3,8a464b96e187fff,10,oahu-kona,2026.01,HART rail line sample 2026,Line sample res10 from HART City Center Section center alignment
RAIL_3,8a464b96ec0ffff,10,oahu-kona,2026.01,HART rail line sample 2026,Line sample res10 from HART City Center Section center alignment
RAIL_3,8a464b96edaffff,10,oahu-kona,2026.01,HART rail line sample 2026,Line sample res10 from HART City Center Section center alignment
RAIL_3,8a464b96eda7fff,10,oahu-kona,2026.01,HART rail line sample 2026,Line sample res10 from HART City Center Section center alignment
RAIL_3,8a464b963a5ffff,10,,2026.01,HART rail line sample 2026,Line sample res10 from HART City Center Section center alignment
RAIL_3,8a464b963a57fff,10,,2026.01,HART rail line sample 2026,Line sample res10 from HART City Center Section center alignment
RAIL_3,8a464b963a0ffff,10,,2026.01,HART rail line sample 2026,Line sample res10 from HART City Center Section center alignment
RAIL_12,8a464b9052c7fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART West Oahu/Farrington Highway Section center alignment
RAIL_12,8a464b9052e7fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART West Oahu/Farrington Highway Section center alignment
RAIL_12,8a464b905257fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART West Oahu/Farrington Highway Section center alignment
RAIL_12,8a464b905277fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART West Oahu/Farrington Highway Section center alignment
RAIL_12,8a464b905267fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART West Oahu/Farrington Highway Section center alignment
RAIL_12,8a464b90535ffff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART West Oahu/Farrington Highway Section center alignment
RAIL_12,8a464b90534ffff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART West Oahu/Farrington Highway Section center alignment
RAIL_12,8a464b905347fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART West Oahu/Farrington Highway Section center alignment
RAIL_12,8a464b90536ffff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART West Oahu/Farrington Highway Section center alignment
RAIL_12,8a464b905367fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART West Oahu/Farrington Highway Section center alignment
RAIL_12,8a464b92ad97fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART West Oahu/Farrington Highway Section center alignment
RAIL_12,8a464b905acffff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART West Oahu/Farrington Highway Section center alignment
RAIL_12,8a464b92adb7fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART West Oahu/Farrington Highway Section center alignment
RAIL_12,8a464b905aeffff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART West Oahu/Farrington Highway Section center alignment
RAIL_12,8a464b905a57fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART West Oahu/Farrington Highway Section center alignment
RAIL_12,8a464b905a77fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART West Oahu/Farrington Highway Section center alignment
RAIL_12,8a464b905a2ffff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART West Oahu/Farrington Highway Section center alignment
RAIL_12,8a464b905b57fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART West Oahu/Farrington Highway Section center alignment
