h3_index,resolution,moku_id,moku_name,island
885d11518bfffff,8,hawaii-puna,Puna,hawaii
885d138659fffff,8,hawaii-puna,Puna,hawaii
885d114947fffff,8,hawaii-puna,Puna,hawaii
885d13b145fffff,8,hawaii-puna,Puna,hawaii
885d114103fffff,8,hawaii-puna,Puna,hawaii
885d114e35fffff,8,hawaii-puna,Puna,hawaii
885d13849bfffff,8,hawaii-puna,Puna,hawaii
885d1396bbfffff,8,hawaii-puna,Puna,hawaii
885d1159a9fffff,8,hawaii-puna,Puna,hawaii
885d138633fffff,8,hawaii-puna,Puna,hawaii
885d114921fffff,8,hawaii-puna,Puna,hawaii
885d1140ddfffff,8,hawaii-puna,Puna,hawaii
885d114ab9fffff,8,hawaii-puna,Puna,hawaii
885d114763fffff,8,hawaii-puna,Puna,hawaii
885d114c51fffff,8,hawaii-puna,Puna,hawaii
885d11440dfffff,8,hawaii-puna,Puna,hawaii
885d139695fffff,8,hawaii-puna,Puna,hawaii
885d115983fffff,8,hawaii-puna,Puna,hawaii
885d1140b7fffff,8,hawaii-puna,Puna,hawaii
885d114a93fffff,8,hawaii-puna,Puna,hawaii
885d1394d7fffff,8,hawaii-puna,Puna,hawaii
885d11473dfffff,8,hawaii-puna,Puna,hawaii
885d114c2bfffff,8,hawaii-puna,Puna,hawaii
885d1148d5fffff,8,hawaii-puna,Puna,hawaii
885d114091fffff,8,hawaii-puna,Puna,hawaii
885d114a6dfffff,8,hawaii-puna,Puna,hawaii
885d1394b1fffff,8,hawaii-puna,Puna,hawaii
885d114229fffff,8,hawaii-puna,Puna,hawaii
885d13b26bfffff,8,hawaii-puna,Puna,hawaii
885d114f5bfffff,8,hawaii-puna,Puna,hawaii
885d114717fffff,8,hawaii-puna,Puna,hawaii
885d114c05fffff,8,hawaii-puna,Puna,hawaii
885d115937fffff,8,hawaii-puna,Puna,hawaii
885d11406bfffff,8,hawaii-puna,Puna,hawaii
885d114559fffff,8,hawaii-puna,Puna,hawaii
885d114a47fffff,8,hawaii-puna,Puna,hawaii
885d114203fffff,8,hawaii-puna,Puna,hawaii
885d13948bfffff,8,hawaii-puna,Puna,hawaii
885d13b245fffff,8,hawaii-puna,Puna,hawaii
885d114f35fffff,8,hawaii-puna,Puna,hawaii
885d115911fffff,8,hawaii-puna,Puna,hawaii
885d114889fffff,8,hawaii-puna,Puna,hawaii
885d114045fffff,8,hawaii-puna,Puna,hawaii
885d114533fffff,8,hawaii-puna,Puna,hawaii
885d114a21fffff,8,hawaii-puna,Puna,hawaii
885d1141ddfffff,8,hawaii-puna,Puna,hawaii
885d1158ebfffff,8,hawaii-puna,Puna,hawaii
885d1150a7fffff,8,hawaii-puna,Puna,hawaii
885d114863fffff,8,hawaii-puna,Puna,hawaii
885d114d51fffff,8,hawaii-puna,Puna,hawaii
885d11450dfffff,8,hawaii-puna,Puna,hawaii
885d115a83fffff,8,hawaii-puna,Puna,hawaii
885d1141b7fffff,8,hawaii-puna,Puna,hawaii
885d114ee9fffff,8,hawaii-puna,Puna,hawaii
885d1158c5fffff,8,hawaii-puna,Puna,hawaii
885d11483dfffff,8,hawaii-puna,Puna,hawaii
885d114d2bfffff,8,hawaii-puna,Puna,hawaii
885d1386e7fffff,8,hawaii-puna,Puna,hawaii
885d1149d5fffff,8,hawaii-puna,Puna,hawaii
885d139419fffff,8,hawaii-puna,Puna,hawaii
885d114191fffff,8,hawaii-puna,Puna,hawaii
885d114ec3fffff,8,hawaii-puna,Puna,hawaii
885d114b6dfffff,8,hawaii-puna,Puna,hawaii
885d114329fffff,8,hawaii-puna,Puna,hawaii
885d13b36bfffff,8,hawaii-puna,Puna,hawaii
885d114817fffff,8,hawaii-puna,Puna,hawaii
885d114d05fffff,8,hawaii-puna,Puna,hawaii
885d1386c1fffff,8,hawaii-puna,Puna,hawaii
885d11416bfffff,8,hawaii-puna,Puna,hawaii
885d114b47fffff,8,hawaii-puna,Puna,hawaii
885d114303fffff,8,hawaii-puna,Puna,hawaii
885d13b345fffff,8,hawaii-puna,Puna,hawaii
885d13869bfffff,8,hawaii-puna,Puna,hawaii
885d114989fffff,8,hawaii-puna,Puna,hawaii
885d114145fffff,8,hawaii-puna,Puna,hawaii
885d114b21fffff,8,hawaii-puna,Puna,hawaii
885d1384ddfffff,8,hawaii-puna,Puna,hawaii
885d1159ebfffff,8,hawaii-puna,Puna,hawaii
885d1151a7fffff,8,hawaii-puna,Puna,hawaii
885d114963fffff,8,hawaii-puna,Puna,hawaii
885d114e51fffff,8,hawaii-puna,Puna,hawaii
885d1142b7fffff,8,hawaii-puna,Puna,hawaii
885d1396d7fffff,8,hawaii-puna,Puna,hawaii
885d1159c5fffff,8,hawaii-puna,Puna,hawaii
885d115181fffff,8,hawaii-puna,Puna,hawaii
885d11493dfffff,8,hawaii-puna,Puna,hawaii
885d114e2bfffff,8,hawaii-puna,Puna,hawaii
885d114ad5fffff,8,hawaii-puna,Puna,hawaii
885d138491fffff,8,hawaii-puna,Puna,hawaii
885d114c6dfffff,8,hawaii-puna,Puna,hawaii
885d114429fffff,8,hawaii-puna,Puna,hawaii
885d1396b1fffff,8,hawaii-puna,Puna,hawaii
885d114917fffff,8,hawaii-puna,Puna,hawaii
885d1140d3fffff,8,hawaii-puna,Puna,hawaii
885d114e05fffff,8,hawaii-puna,Puna,hawaii
885d11426bfffff,8,hawaii-puna,Puna,hawaii
885d114c47fffff,8,hawaii-puna,Puna,hawaii
885d13968bfffff,8,hawaii-puna,Puna,hawaii
885d1140adfffff,8,hawaii-puna,Puna,hawaii
885d114a89fffff,8,hawaii-puna,Puna,hawaii
885d114245fffff,8,hawaii-puna,Puna,hawaii
885d1394cdfffff,8,hawaii-puna,Puna,hawaii
885d114733fffff,8,hawaii-puna,Puna,hawaii
885d114c21fffff,8,hawaii-puna,Puna,hawaii
885d1148cbfffff,8,hawaii-puna,Puna,hawaii
885d114087fffff,8,hawaii-puna,Puna,hawaii
885d114a63fffff,8,hawaii-puna,Puna,hawaii
885d13b261fffff,8,hawaii-puna,Puna,hawaii
885d114f51fffff,8,hawaii-puna,Puna,hawaii
885d11470dfffff,8,hawaii-puna,Puna,hawaii
885d1150e9fffff,8,hawaii-puna,Puna,hawaii
885d1148a5fffff,8,hawaii-puna,Puna,hawaii
885d114061fffff,8,hawaii-puna,Puna,hawaii
885d114a3dfffff,8,hawaii-puna,Puna,hawaii
885d13b23bfffff,8,hawaii-puna,Puna,hawaii
885d139481fffff,8,hawaii-puna,Puna,hawaii
885d114f2bfffff,8,hawaii-puna,Puna,hawaii
885d11403bfffff,8,hawaii-puna,Puna,hawaii
885d114d6dfffff,8,hawaii-puna,Puna,hawaii
885d114529fffff,8,hawaii-puna,Puna,hawaii
885d114a17fffff,8,hawaii-puna,Puna,hawaii
885d13b215fffff,8,hawaii-puna,Puna,hawaii
885d13945bfffff,8,hawaii-puna,Puna,hawaii
885d1141d3fffff,8,hawaii-puna,Puna,hawaii
885d114f05fffff,8,hawaii-puna,Puna,hawaii
885d11436bfffff,8,hawaii-puna,Puna,hawaii
885d1158e1fffff,8,hawaii-puna,Puna,hawaii
885d114859fffff,8,hawaii-puna,Puna,hawaii
885d114015fffff,8,hawaii-puna,Puna,hawaii
885d114d47fffff,8,hawaii-puna,Puna,hawaii
885d114503fffff,8,hawaii-puna,Puna,hawaii
885d1141adfffff,8,hawaii-puna,Puna,hawaii
885d114345fffff,8,hawaii-puna,Puna,hawaii
885d1158bbfffff,8,hawaii-puna,Puna,hawaii
885d114833fffff,8,hawaii-puna,Puna,hawaii
885d114d21fffff,8,hawaii-puna,Puna,hawaii
885d1386ddfffff,8,hawaii-puna,Puna,hawaii
885d1149cbfffff,8,hawaii-puna,Puna,hawaii
885d114187fffff,8,hawaii-puna,Puna,hawaii
885d114b63fffff,8,hawaii-puna,Puna,hawaii
885d13b361fffff,8,hawaii-puna,Puna,hawaii
885d115895fffff,8,hawaii-puna,Puna,hawaii
885d11480dfffff,8,hawaii-puna,Puna,hawaii
885d1386b7fffff,8,hawaii-puna,Puna,hawaii
885d1149a5fffff,8,hawaii-puna,Puna,hawaii
885d114161fffff,8,hawaii-puna,Puna,hawaii
885d114b3dfffff,8,hawaii-puna,Puna,hawaii
885d13b33bfffff,8,hawaii-puna,Puna,hawaii
885d1151c3fffff,8,hawaii-puna,Puna,hawaii
885d138691fffff,8,hawaii-puna,Puna,hawaii
885d11413bfffff,8,hawaii-puna,Puna,hawaii
885d114e6dfffff,8,hawaii-puna,Puna,hawaii
885d114b17fffff,8,hawaii-puna,Puna,hawaii
885d13b315fffff,8,hawaii-puna,Puna,hawaii
885d1384d3fffff,8,hawaii-puna,Puna,hawaii
885d11446bfffff,8,hawaii-puna,Puna,hawaii
885d1159e1fffff,8,hawaii-puna,Puna,hawaii
