h3_index,resolution,moku_id,moku_name,island
875d144e8ffffff,7,maui-hamakuapoko,Hāmākuapoko,maui
875d14795ffffff,7,maui-hamakuapoko,Hāmākuapoko,maui
875d144e1ffffff,7,maui-hamakuapoko,Hāmākuapoko,maui
875d144cdffffff,7,maui-hamakuapoko,Hāmākuapoko,maui
875d144c9ffffff,7,maui-hamakuapoko,Hāmākuapoko,maui
875d144c5ffffff,7,maui-hamakuapoko,Hāmākuapoko,maui
875d147b2ffffff,7,maui-hamakuapoko,Hāmākuapoko,maui
875d144ecffffff,7,maui-hamakualoa,Hāmākualoa,maui
875d147a6ffffff,7,maui-hamakualoa,Hāmākualoa,maui
875d147a4ffffff,7,maui-hamakualoa,Hāmākualoa,maui
875d147a2ffffff,7,maui-hamakualoa,Hāmākualoa,maui
875d1445effffff,7,maui-hamakualoa,Hāmākualoa,maui
875d1478affffff,7,maui-hamakualoa,Hāmākualoa,maui
875d1445affffff,7,maui-hamakualoa,Hāmākualoa,maui
875d14458ffffff,7,maui-hamakualoa,Hāmākualoa,maui
875d14786ffffff,7,maui-hamakualoa,Hāmākualoa,maui
875d14782ffffff,7,maui-hamakualoa,Hāmākualoa,maui
875d14452ffffff,7,maui-hamakualoa,Hāmākualoa,maui
875d14780ffffff,7,maui-hamakualoa,Hāmākualoa,maui
875d147b5ffffff,7,maui-hamakualoa,Hāmākualoa,maui
875d147b1ffffff,7,maui-hamakualoa,Hāmākualoa,maui
875d144edffffff,7,maui-hamakualoa,Hāmākualoa,maui
875d144e9ffffff,7,maui-hamakualoa,Hāmākualoa,maui
875d1445dffffff,7,maui-hamakualoa,Hāmākualoa,maui
875d1445bffffff,7,maui-hamakualoa,Hāmākualoa,maui
875d14459ffffff,7,maui-hamakualoa,Hāmākualoa,maui
875d14783ffffff,7,maui-hamakualoa,Hāmākualoa,maui
875d14453ffffff,7,maui-hamakualoa,Hāmākualoa,maui
875d147b6ffffff,7,maui-hamakualoa,Hāmākualoa,maui
875d147b4ffffff,7,maui-hamakualoa,Hāmākualoa,maui
875d147b0ffffff,7,maui-hamakualoa,Hāmākualoa,maui
87464e074ffffff,7,kauai-halelea,Halele'a,kauai
87464e003ffffff,7,kauai-halelea,Halele'a,kauai
87464e02bffffff,7,kauai-halelea,Halele'a,kauai
87464e00affffff,7,kauai-halelea,Halele'a,kauai
