objectid,fid_hi_wetlands,attribute,acres,wetland_type,status
191,631,M2RSN,0.06783558,"Estuarine and Marine Wetland",Digital
192,632,M2RSP,0.50858687,"Estuarine and Marine Wetland",Digital
193,633,M2USN,1.02854036,"Estuarine and Marine Wetland",Digital
194,634,M2USN,0.49306937,"Estuarine and Marine Wetland",Digital
195,635,M2USP,0.16855734,"Estuarine and Marine Wetland",Digital
196,636,PABFh,0.17995081,"Freshwater Pond",Digital
197,637,PABH,1.71274685,"Freshwater Pond",Digital
198,638,PABHh,1.70921499,"Freshwater Pond",Digital
199,639,PABHh,2.33315184,"Freshwater Pond",Digital
200,640,PABHh,0.05776251,"Freshwater Pond",Digital
201,641,PABHx,0.0139916,"Freshwater Pond",Digital
202,642,PABHx,0.16188102,"Freshwater Pond",Digital
203,643,PABHh,2.75175285,"Freshwater Pond",Digital
204,644,PEM1/SS3C,22.69379525,"Freshwater Emergent Wetland",Digital
205,645,PEM1A,0.40736491,"Freshwater Emergent Wetland",Digital
206,646,PEM1A,1.03504936,"Freshwater Emergent Wetland",Digital
207,647,PEM1C,1.26217692,"Freshwater Emergent Wetland",Digital
208,648,PEM1C,0.31431491,"Freshwater Emergent Wetland",Digital
209,649,PEM1C,0.56397248,"Freshwater Emergent Wetland",Digital
210,650,PEM1C,0.61299228,"Freshwater Emergent Wetland",Digital
211,651,PEM1C,10.16116684,"Freshwater Emergent Wetland",Digital
212,652,PEM1C,14.00229547,"Freshwater Emergent Wetland",Digital
213,653,PEM1C,1.48247306,"Freshwater Emergent Wetland",Digital
214,654,PEM1C,2.41603979,"Freshwater Emergent Wetland",Digital
215,655,PEM1C,0.18753391,"Freshwater Emergent Wetland",Digital
216,656,PEM1C,7.48667035,"Freshwater Emergent Wetland",Digital
217,657,PEM1C,0.31723317,"Freshwater Emergent Wetland",Digital
218,658,PEM1C,2.04991898,"Freshwater Emergent Wetland",Digital
219,659,PEM1C,4.68745651,"Freshwater Emergent Wetland",Digital
220,660,PEM1C,0.06903261,"Freshwater Emergent Wetland",Digital
221,661,PEM1C,0.28049006,"Freshwater Emergent Wetland",Digital
222,662,PEM1C,0.04593439,"Freshwater Emergent Wetland",Digital
223,663,PEM1C,0.46581978,"Freshwater Emergent Wetland",Digital
224,664,PEM1C,0.8488922,"Freshwater Emergent Wetland",Digital
225,665,PEM1C,1.85842325,"Freshwater Emergent Wetland",Digital
226,666,PEM1C,0.7626324,"Freshwater Emergent Wetland",Digital
227,667,PEM1C,0.75721626,"Freshwater Emergent Wetland",Digital
228,668,PEM1C,0.24357841,"Freshwater Emergent Wetland",Digital
229,669,PEM1C,0.31686822,"Freshwater Emergent Wetland",Digital
230,670,PEM1C,0.04726349,"Freshwater Emergent Wetland",Digital
231,671,PEM1C,0.43563999,"Freshwater Emergent Wetland",Digital
232,672,PEM1C,0.37595945,"Freshwater Emergent Wetland",Digital
233,673,PEM1C,0.31895002,"Freshwater Emergent Wetland",Digital
234,674,PEM1C,0.20529009,"Freshwater Emergent Wetland",Digital
235,675,PEM1C,0.52570441,"Freshwater Emergent Wetland",Digital
236,676,PEM1C,0.41074473,"Freshwater Emergent Wetland",Digital
237,677,PEM1C,0.90436616,"Freshwater Emergent Wetland",Digital
238,678,PEM1C,0.71121784,"Freshwater Emergent Wetland",Digital
239,679,PEM1C,0.56251695,"Freshwater Emergent Wetland",Digital
240,680,PEM1C,0.67457446,"Freshwater Emergent Wetland",Digital
241,681,PEM1C,1.1732465,"Freshwater Emergent Wetland",Digital
242,682,PEM1C,0.07048475,"Freshwater Emergent Wetland",Digital
243,683,PEM1C,0.20741978,"Freshwater Emergent Wetland",Digital
244,684,PEM1Ch,0.16199276,"Freshwater Emergent Wetland",Digital
245,685,PEM1Ch,0.61743626,"Freshwater Emergent Wetland",Digital
246,686,PEM1Ch,0.43213308,"Freshwater Emergent Wetland",Digital
247,687,PEM1Ch,1.25481288,"Freshwater Emergent Wetland",Digital
248,688,PEM1Ch,1.37767379,"Freshwater Emergent Wetland",Digital
249,689,PEM1Ch,0.97517233,"Freshwater Emergent Wetland",Digital
250,690,PEM1Ch,2.29602556,"Freshwater Emergent Wetland",Digital
251,691,PEM1Ch,3.30724989,"Freshwater Emergent Wetland",Digital
252,692,PEM1Ch,0.27537152,"Freshwater Emergent Wetland",Digital
253,693,PEM1Ch,1.26017115,"Freshwater Emergent Wetland",Digital
254,694,PEM1Ch,0.9237783,"Freshwater Emergent Wetland",Digital
255,695,PEM1Ch,0.11482776,"Freshwater Emergent Wetland",Digital
256,696,PEM1Ch,0.10590294,"Freshwater Emergent Wetland",Digital
257,697,PEM1Ch,0.03389299,"Freshwater Emergent Wetland",Digital
258,698,PEM1Ch,0.54932598,"Freshwater Emergent Wetland",Digital
259,699,PEM1Ch,0.07716047,"Freshwater Emergent Wetland",Digital
260,700,PEM1Ch,0.92326383,"Freshwater Emergent Wetland",Digital
261,701,PEM1Ch,2.26963309,"Freshwater Emergent Wetland",Digital
262,702,PEM1Ch,0.10482187,"Freshwater Emergent Wetland",Digital
263,703,PEM1Ch,0.11239633,"Freshwater Emergent Wetland",Digital
264,704,PEM1Cx,0.84899931,"Freshwater Emergent Wetland",Digital
265,705,PEM1Cx,4.92559712,"Freshwater Emergent Wetland",Digital
266,706,PEM1Cx,1.93423463,"Freshwater Emergent Wetland",Digital
267,707,PEM1Cx,0.5965216,"Freshwater Emergent Wetland",Digital
268,708,PEM1Cx,1.3350069,"Freshwater Emergent Wetland",Digital
269,709,PEM1Cx,4.08054782,"Freshwater Emergent Wetland",Digital
270,710,PEM1Cx,0.46664392,"Freshwater Emergent Wetland",Digital
271,711,PEM1Cx,0.24807334,"Freshwater Emergent Wetland",Digital
272,712,PEM1Cx,0.07881933,"Freshwater Emergent Wetland",Digital
273,713,PEM1Cx,0.05499817,"Freshwater Emergent Wetland",Digital
274,714,PEM1Cx,0.68405705,"Freshwater Emergent Wetland",Digital
275,715,PEM1Cx,0.02656013,"Freshwater Emergent Wetland",Digital
276,716,PEM1Cx,1.5417655,"Freshwater Emergent Wetland",Digital
277,717,PEM1F,0.04682245,"Freshwater Emergent Wetland",Digital
278,718,PEM1F,0.17963935,"Freshwater Emergent Wetland",Digital
279,719,PEM1F,3.27270566,"Freshwater Emergent Wetland",Digital
280,720,PEM1Fh,0.00911892,"Freshwater Emergent Wetland",Digital
281,721,PEM1Fh,1.10820896,"Freshwater Emergent Wetland",Digital
282,722,PEM1Fh,3.73986745,"Freshwater Emergent Wetland",Digital
283,723,PEM1Fh,3.33379757,"Freshwater Emergent Wetland",Digital
284,724,PEM1Fx,0.06271562,"Freshwater Emergent Wetland",Digital
285,725,PEM1Fx,0.02225678,"Freshwater Emergent Wetland",Digital
286,726,PEM1Fx,0.12050552,"Freshwater Emergent Wetland",Digital
287,727,PEM1Fx,1.81608795,"Freshwater Emergent Wetland",Digital
288,728,PEM1Fh,0.35465274,"Freshwater Emergent Wetland",Digital
289,729,PEM1Fh,0.38768561,"Freshwater Emergent Wetland",Digital
290,730,PEM1Fh,0.22481262,"Freshwater Emergent Wetland",Digital
291,731,PEM1Fh,0.21344298,"Freshwater Emergent Wetland",Digital
292,732,PEM1Fh,0.32816993,"Freshwater Emergent Wetland",Digital
293,733,PEM1Fh,0.21255014,"Freshwater Emergent Wetland",Digital
294,734,PEM1Fh,0.19980716,"Freshwater Emergent Wetland",Digital
295,735,PEM1Fh,0.33378711,"Freshwater Emergent Wetland",Digital
296,736,PEM1Fh,0.07074228,"Freshwater Emergent Wetland",Digital
297,737,PEM1Fh,0.08211056,"Freshwater Emergent Wetland",Digital
298,738,PEM1Fh,0.10524836,"Freshwater Emergent Wetland",Digital
299,739,PEM1Fh,0.07442275,"Freshwater Emergent Wetland",Digital
300,740,PEM1Fh,0.06528876,"Freshwater Emergent Wetland",Digital
301,741,PEM1Fh,0.053351,"Freshwater Emergent Wetland",Digital
302,742,PEM1Fh,0.06299294,"Freshwater Emergent Wetland",Digital
303,743,PEM1Fh,0.05836641,"Freshwater Emergent Wetland",Digital
304,744,PEM1Fh,0.07036704,"Freshwater Emergent Wetland",Digital
305,745,PEM1Fh,0.06285725,"Freshwater Emergent Wetland",Digital
306,746,PEM1Fh,0.07972435,"Freshwater Emergent Wetland",Digital
307,747,PEM1Fh,0.08254674,"Freshwater Emergent Wetland",Digital
308,748,PEM1Fh,0.07935985,"Freshwater Emergent Wetland",Digital
309,749,PEM1Fh,0.10276725,"Freshwater Emergent Wetland",Digital
310,750,PEM1Fh,0.06960493,"Freshwater Emergent Wetland",Digital
311,751,PEM1Fh,0.05627982,"Freshwater Emergent Wetland",Digital
312,752,PEM1Fh,0.05835562,"Freshwater Emergent Wetland",Digital
313,753,PEM1Fh,0.05358888,"Freshwater Emergent Wetland",Digital
314,754,PEM1Fh,0.06289573,"Freshwater Emergent Wetland",Digital
315,755,PEM1Fh,0.06268537,"Freshwater Emergent Wetland",Digital
