objectid,zone_class,zoning_des,zoning_lab,loaddate,st_areashape,st_perimetershape
134,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,6029.38694175292,343.187934601692
135,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,7044.93207439602,354.17008774974
136,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,83952.6424893244,1992.80135793085
137,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,143350.352367085,1587.81319676925
138,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,24356.7821928748,616.983796558826
139,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,31978.1359272241,801.943243373138
140,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,1782.28453001205,190.037830844682
141,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,19176.6722641427,643.688429061789
142,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,38215.4658246721,761.644574964862
143,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,9898.8368557769,494.401177846897
144,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,53323.127758906,944.284349357934
145,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,57597.2222279892,1069.59487416064
146,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,7807.40046676616,544.593501992757
147,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,46977.6231922257,1482.9305499686
148,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,1282.4189253036,147.690079423933
149,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,32531.862829006,1007.34344300527
150,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,17135.5016819084,582.07178765207
151,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,1474.09385743585,162.140977683652
152,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,96042.7720165364,1687.66228497112
153,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,100490.193613547,1784.41526297282
154,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,205924.751895659,2491.67807588228
155,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,53592.7926080633,1214.51046841015
156,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,128367.025969225,1662.75623677334
157,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,33332.5020096723,1119.6567681965
158,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,5057.27299447796,296.005600285232
159,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,142203.732427388,1934.30676601952
160,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,16051.5937140718,726.680224373961
161,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,25829.127208075,827.66264418626
162,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,7767.10255522816,508.925705225228
163,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,3731.34776094036,256.349129207448
164,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,39216.9122302316,1935.37943600653
165,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,39011.7807003471,1016.81109028386
166,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,41123.6940801402,806.534670871147
167,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,25847.7865009136,777.986517083608
168,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,129138.466531699,1697.16563098736
