"h3_cell","codes","primary_code","version","data_source","provenance"
"8846482103fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482105fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482107fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482109fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648210bfffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648210dfffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482111fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482113fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482115fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482117fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482119fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648211bfffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648211dfffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482121fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482123fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482125fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482127fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482129fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648212bfffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648212dfffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482131fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482133fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482135fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482137fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482139fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648213bfffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648213dfffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482141fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482143fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482145fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482147fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482149fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648214bfffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648214dfffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482151fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482153fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482155fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482157fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482159fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648215bfffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648215dfffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482161fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482163fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482165fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482167fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482169fffff","AG-1","AG-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
